id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1.16E+18,Sat Aug 10 21:26:07 +0000 2019,"<a href=""https://m1.t7w.co"" rel=""nofollow"">T7 App</a>","RT @SpirosMargaris: Driverless Cars, #Chatbots, #ArtificialIntelligence: 

Where Is The #Human Factor? 

https://t.co/MOyny3YYTv #fintech #…",en,0,13,ChatbotAgencyAU,"Chatbots, ArtificialIntelligence, Human, fintech",SpirosMargaris,,
1.16E+18,Sat Aug 10 21:25:56 +0000 2019,"<a href=""http://www.wiomax.com/cn"" rel=""nofollow"">wiomax_cn2</a>","RT @mvollmer1: Elon Musk’s new ‘robo-taxi’ plan for #Tesla self-driving cars is game-changing - Is it?

#SelfDriving #Driverless #Autonomou…",en,0,11,wiomax_cn,"Tesla, SelfDriving, Driverless",mvollmer1,United States,
1.16E+18,Sat Aug 10 21:25:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,vijayavada,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",Indonesia,
1.16E+18,Sat Aug 10 21:24:44 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,aleejandro_p,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",World,
1.16E+18,Sat Aug 10 21:23:58 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @munir_alhaddad: The car's level four autonomy means the driver has no need to pay attention to the road or touch the steering wheel.
#a…",en,0,7,Gpointmkt,,munir_alhaddad,"World Golf Village, FL",
1.16E+18,Sat Aug 10 21:19:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,IGSsolutions,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",Leicestershire / London,
1.16E+18,Sat Aug 10 21:18:48 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @munir_alhaddad: The car's level four autonomy means the driver has no need to pay attention to the road or touch the steering wheel.
#a…",en,0,7,ProcurementStar,,munir_alhaddad,"Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:17:45 +0000 2019,"<a href=""https://www.linkedin.com"" rel=""nofollow"">MavenBot</a>","RT @mvollmer1: Elon Musk’s new ‘robo-taxi’ plan for #Tesla self-driving cars is game-changing - Is it?

#SelfDriving #Driverless #Autonomou…",en,0,11,TrackBots,"Tesla, SelfDriving, Driverless",mvollmer1,United States,
1.16E+18,Sat Aug 10 21:15:48 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JeroenBartelse: Self-driving cars, robotic surgeries; the future 5G promises — internet connections so fast they'll support an entirely…",en,0,42,SashiMenonIIEMT,,JeroenBartelse,"Mumbai, India",
1.16E+18,Sat Aug 10 21:13:58 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JeroenBartelse: A Boston start-up debuts an autonomous car line, as it hopes to lead the way in urban driverless vehicles 
https://t.co…",en,0,45,ProcurementStar,,JeroenBartelse,"Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:13:32 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mvollmer1: #AutonomousVehicles are not only cars or trucks, but also motorcycles. Via @seeker #AI #transportation #innovation @pascal_b…",en,0,30,ProcurementStar,"AutonomousVehicles, AI, transportation, innovation","mvollmer1, Seeker","Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:11:19 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @marcusborba: This #robot can park your car at the airport  
via @CNNBusiness @Paula_Piccard #ArtificialIntelligence #MachineLearning #A…",en,0,66,ProcurementStar,"robot, ArtificialIntelligence, MachineLearning","marcusborba, CNNBusiness, Paula_Piccard","Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:10:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JeroenBartelse: Self-driving cars, robotic surgeries; the future 5G promises — internet connections so fast they'll support an entirely…",en,0,42,Flashfuture,,JeroenBartelse,"London, UK",
1.16E+18,Sat Aug 10 21:07:51 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,hari_calicut,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker",India,
